data\images\boxer_184.jpg,100,91,270,202,boxer
data\images\Bengal_16.jpg,112,14,393,298,bengal
data\images\Bombay_107.jpg,84,17,225,160,bombay
data\images\Maine_Coon_205.jpg,112,131,211,247,maine_coon
data\images\japanese_chin_154.jpg,130,80,294,263,japanese_chin
data\images\Bombay_117.jpg,76,28,157,112,bombay
data\images\British_Shorthair_193.jpg,197,67,402,267,british_shorthair
data\images\Birman_185.jpg,225,50,428,244,birman
data\images\chihuahua_185.jpg,56,16,151,109,chihuahua
data\images\Persian_197.jpg,130,19,349,251,persian
data\images\american_pit_bull_terrier_14.jpg,257,30,444,310,american_pit_bull_terrier
data\images\shiba_inu_166.jpg,93,1,359,252,shiba_inu
data\images\Ragdoll_104.jpg,165,75,376,288,ragdoll
data\images\japanese_chin_147.jpg,20,152,216,336,japanese_chin
data\images\Bombay_175.jpg,528,157,865,488,bombay
data\images\staffordshire_bull_terrier_118.jpg,211,76,380,211,staffordshire_bull_terrier
data\images\Russian_Blue_145.jpg,135,80,271,244,russian_blue
data\images\english_setter_147.jpg,59,38,236,152,english_setter
data\images\english_setter_185.jpg,59,137,166,222,english_setter
data\images\pug_117.jpg,232,105,333,190,pug
data\images\american_bulldog_184.jpg,121,64,365,314,american_bulldog
data\images\scottish_terrier_158.jpg,145,63,335,280,scottish_terrier
data\images\Bengal_146.jpg,20,30,161,172,bengal
data\images\pomeranian_106.jpg,297,79,351,149,pomeranian
data\images\Persian_194.jpg,322,32,469,164,persian
data\images\american_pit_bull_terrier_184.jpg,19,24,133,121,american_pit_bull_terrier
data\images\shiba_inu_160.jpg,300,59,450,241,shiba_inu
data\images\newfoundland_116.jpg,252,99,471,286,newfoundland
data\images\scottish_terrier_123.jpg,246,1,459,264,scottish_terrier
data\images\pug_190.jpg,107,21,268,142,pug
data\images\Maine_Coon_103.jpg,173,69,381,273,maine_coon
data\images\keeshond_186.jpg,106,17,325,266,keeshond
data\images\Bengal_165.jpg,51,24,113,108,bengal
data\images\Ragdoll_131.jpg,107,9,210,111,ragdoll
data\images\american_pit_bull_terrier_157.jpg,20,21,156,133,american_pit_bull_terrier
